,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count
0,Nikita Voloboev,https://wiki.nikiv.dev/,"['science', 'programming', 'arts', 'linux', 'activism', 'python', 'health', 'productivity']",nikitavoloboev/knowledge,,english,https://github.com/nikitavoloboev/knowledge,2017-09-21 20:12:21,2022-05-12 17:03:46,2022-05-12 17:03:43,11352,376.0,367.0,114.0,56.0,12.0,26.0,3363.0,35.0,20,True,1,,,,,,,
1,Oscean,https://wiki.xxiivv.com/site/home.html,[],XXIIVV/Oscean,,english,https://github.com/XXIIVV/oscean,2017-11-22 18:58:35,2022-05-12 17:44:59,2022-05-12 17:44:56,3768,198.0,72.0,9.0,63.0,5.0,32.0,391.0,37.0,18,True,1,MIT,1.0,,,,,
2,100 Rabbits,https://100r.co/site/home.html,"['programming', 'arts']",hundredrabbits/100r.co,,english,https://github.com/hundredrabbits/100r.co,2017-11-25 02:23:26,2022-05-12 02:33:26,2022-05-12 02:33:26,1751,104.0,41.0,8.0,33.0,5.0,34.0,204.0,21.0,17,True,1,MIT,1.0,,,,,
3,Simon Willison,https://til.simonwillison.net/,"['programming', 'linux', 'python']",simonw/til,,english,https://github.com/simonw/til,2020-04-19 14:35:59,2022-05-04 22:26:42,2022-05-04 22:26:42,1007,126.0,43.0,26.0,9.0,6.0,29.0,469.0,8.0,16,True,1,Apache-2.0,,,,,,
4,swyx.io ideas,https://www.swyx.io/ideas/?show=Essays,[],sw-yx/swyxdotio,,english,https://github.com/sw-yx/swyxdotio,2017-10-22 06:35:18,2022-05-11 07:16:39,2022-05-11 07:16:39,718,16.0,35.0,7.0,33.0,168.0,208.0,172.0,29.0,16,True,1,MIT,,,,,,
5,Giant Robots Smashing Into Other Giant Robots,https://thoughtbot.com/blog,"['linux', 'programming', 'python']",thoughtbot/til,,english,https://github.com/thoughtbot/til,2015-01-16 22:21:28,2021-09-24 16:04:04,2015-04-03 20:42:00,60,,226.0,431.0,96.0,,,3869.0,34.0,13,False,1,,,,,,,
6,David Gasquez,https://publish.obsidian.md/davidgasquez/README,"['programming', 'health', 'linux', 'productivity', 'arts', 'science']",davidgasquez/handbook,,english,https://github.com/davidgasquez/handbook,2018-07-25 10:13:02,2022-05-11 10:49:27,2022-05-11 10:49:23,720,258.0,9.0,6.0,4.0,,,86.0,3.0,13,True,1,MIT,,,,,,
7,Yoshua Wuyts,https://github.com/yoshuawuyts/notes,"['arts', 'programming', 'productivity']",yoshuawuyts/notes,,english,https://github.com/yoshuawuyts/notes,2014-11-15 17:42:36,2022-01-05 12:13:17,2020-10-07 20:53:06,1635,,45.0,48.0,17.0,5.0,33.0,832.0,13.0,12,True,1,,,,,,,
8,Jesse Squires,https://jessesquires.github.io/TIL/,"['programming', 'python', 'activism']",jessesquires/TIL,,english,https://github.com/jessesquires/TIL,2017-12-22 16:57:51,2022-04-24 20:14:36,2022-04-24 20:14:36,326,19.0,6.0,17.0,2.0,,,257.0,3.0,12,True,1,MIT,,,,,,
9,The Blue Book,https://lyz-code.github.io/blue-book,"['activism', 'antifascism', 'productivity', 'health', 'programming', 'python', 'linux', 'arts', 'science', 'feminism']",lyz-code/blue-book,,english,https://github.com/lyz-code/blue-book,2020-02-06 01:24:08,2022-05-12 06:44:51,2022-05-12 06:44:37,1043,118.0,35.0,11.0,19.0,,4.0,249.0,8.0,12,True,1,,,,,,,
10,Richard Littauer,https://github.com/RichardLitt/knowledge,"['science', 'arts', 'python', 'programming']",RichardLitt/knowledge,,english,https://github.com/RichardLitt/knowledge,2015-10-31 18:29:39,2022-05-11 12:34:39,2022-05-11 12:34:38,259,5.0,16.0,17.0,10.0,4.0,15.0,196.0,5.0,11,True,2,MIT,,,,,,
11,mistermicheels learning notes,https://learning-notes.mistermicheels.com/about/about/,['programming'],mistermicheels/learning-notes,,english,https://github.com/mistermicheels/learning-notes,2019-04-13 20:39:28,2022-05-09 09:34:43,2022-05-09 09:34:36,271,18.0,32.0,6.0,14.0,,,168.0,2.0,11,True,2,CC-BY-4.0,2.0,,,,,
