,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
0,Oscean,https://wiki.xxiivv.com/site/home.html,[],XXIIVV/Oscean,,english,https://github.com/XXIIVV/oscean,MIT,2017-11-22 18:58:35,2025-02-04 17:59:59,2025-02-04 18:02:37,5904.0,144.0,80.0,12.0,79.0,15.0,43.0,509.0,7.0,7.0,46.0,18,True,1.0,,,,,,,
1,Simon Willison,https://til.simonwillison.net/,"['programming', 'linux', 'python']",simonw/til,,english,https://github.com/simonw/til,Apache-2.0,2020-04-19 14:35:59,2025-01-26 17:26:34,2025-01-26 17:26:33,2056.0,28.0,98.0,43.0,24.0,23.0,53.0,1176.0,,,16.0,17,True,1.0,,,,,,,
2,100 Rabbits,https://100r.co/site/home.html,"['programming', 'arts']",hundredrabbits/100r.co,,english,https://github.com/hundredrabbits/100r.co,MIT,2017-11-25 02:23:26,2025-02-02 17:51:37,2025-02-02 17:51:33,2894.0,141.0,56.0,11.0,62.0,6.0,42.0,346.0,,,34.0,17,True,1.0,,,,,,,
3,swyx.io ideas,https://www.swyx.io/ideas/?show=Essays,[],sw-yx/swyxdotio,,english,https://github.com/swyxio/swyxdotio,MIT,2017-10-22 06:35:18,2025-01-22 20:16:12,2025-01-22 20:16:12,864.0,5.0,47.0,14.0,40.0,30.0,443.0,366.0,,,31.0,15,True,1.0,swyxio/swyxdotio,,,,,,
4,Xinyang YU - 🥷🏻🌳🍃 Computer Science & Thinkering Garden,https://notes.yxy.ninja,"['programming', 'science', 'productivity', 'linux']",xy-241/CS-Notes,,english,https://github.com/xy-241/CS-Notes,MIT,2023-12-02 11:54:11,2025-02-04 08:27:04,2025-02-04 08:24:35,2543.0,202.0,4.0,2.0,54.0,,,52.0,,,198.0,15,True,1.0,,,,,,,
5,The Blue Book,https://lyz-code.github.io/blue-book,"['activism', 'antifascism', 'productivity', 'health', 'programming', 'python', 'linux', 'arts', 'science', 'feminism']",lyz-code/blue-book,,english,https://github.com/lyz-code/blue-book,CC0-1.0,2020-02-06 01:24:08,2025-02-04 06:50:18,2025-02-04 06:43:46,1539.0,31.0,93.0,22.0,28.0,,9.0,856.0,,,17.0,14,True,1.0,,,,,,,
6,David Gasquez,https://publish.obsidian.md/davidgasquez/README,"['programming', 'health', 'linux', 'productivity', 'arts', 'science']",davidgasquez/handbook,,english,https://github.com/davidgasquez/handbook,MIT,2018-07-25 10:13:02,2025-02-01 11:01:56,2025-02-01 11:01:51,1390.0,52.0,19.0,10.0,6.0,1.0,9.0,164.0,,,4.0,14,True,1.0,,,,,,,
7,Giant Robots Smashing Into Other Giant Robots,https://thoughtbot.com/blog,"['linux', 'programming', 'python']",thoughtbot/til,,english,https://github.com/thoughtbot/til,,2015-01-16 22:21:28,2024-07-19 22:16:50,2015-04-03 20:42:00,60.0,,220.0,405.0,97.0,,,3939.0,,,34.0,13,False,1.0,,,,,,,
8,PuiMan Cheui,https://wiki.aleen42.com/,"['programming', 'linux']",aleen42/PersonalWiki,,english,https://github.com/aleen42/PersonalWiki,MIT,2015-05-13 14:26:08,2024-04-08 01:50:13,2024-04-08 01:48:46,19441.0,,52.0,20.0,3.0,28.0,7.0,346.0,,,4.0,13,True,1.0,,,,,,,
9,Keyvan Akbary,https://keyvanakbary.github.io/learning-notes/,[],keyvanakbary/learning-notes,,english,https://github.com/keyvanakbary/learning-notes,,2017-01-30 20:52:21,2024-01-02 03:50:55,2022-01-15 16:58:33,108.0,,1208.0,214.0,23.0,2.0,2.0,5703.0,,,3.0,12,True,2.0,,,,,,,
10,Nikita Voloboev,https://wiki.nikiv.dev/,"['science', 'programming', 'arts', 'linux', 'activism', 'python', 'health', 'productivity']",nikitavoloboev/knowledge,,english,https://github.com/nikitavoloboev/docs,,2017-09-21 20:12:21,2025-02-04 15:25:26,2025-02-04 15:25:24,23.0,23.0,545.0,120.0,87.0,,,4833.0,,,,12,True,2.0,nikitavoloboev/docs,1.0,,,,,
11,Yoshua Wuyts,https://github.com/yoshuawuyts/notes,"['arts', 'programming', 'productivity']",yoshuawuyts/notes,,english,https://github.com/yoshuawuyts/knowledge,,2014-11-15 17:42:36,2022-01-05 12:13:17,2020-10-07 20:53:06,1635.0,,43.0,47.0,17.0,5.0,33.0,844.0,,,13.0,12,False,2.0,yoshuawuyts/knowledge,,,,,,
12,Kyle King recipes,https://recipes.kyleking.me/,['arts'],KyleKing/recipes,,english,https://github.com/KyleKing/recipes,MIT,2017-09-13 00:21:11,2025-01-24 23:41:42,2025-01-24 23:40:21,769.0,143.0,,3.0,23.0,,15.0,6.0,,,2.0,12,True,2.0,,,2024-12-19 14:31:51,0.5.0,2.0,,
13,Richard Littauer,https://github.com/RichardLitt/knowledge,"['science', 'arts', 'python', 'programming']",RichardLitt/knowledge,,english,https://github.com/RichardLitt/knowledge,MIT,2015-10-31 18:29:39,2024-09-30 23:05:57,2024-09-30 23:05:51,295.0,,21.0,20.0,10.0,4.0,15.0,251.0,,,5.0,11,True,2.0,,,,,,,
14,pawamoy's website,https://pawamoy.github.io,"['programming', 'python', 'science']",pawamoy/website/,,english,https://github.com/pawamoy/website,ISC,2020-06-04 21:33:15,2025-01-04 14:57:23,2025-01-04 14:57:18,298.0,15.0,4.0,6.0,4.0,7.0,4.0,51.0,,,,11,True,2.0,,,,,,,
15,Scott Spence,https://scottspence.com/posts,[],spences10/scottspence.com,,english,https://github.com/spences10/scottspence.com,,2021-07-17 15:36:36,2025-02-04 17:52:28,2025-02-04 08:41:04,3080.0,64.0,10.0,3.0,1004.0,1.0,3.0,49.0,,,10.0,11,True,2.0,,,,,,,
16,Maggie Appelton,https://maggieappleton.com/garden,"['programming', 'science', 'arts']",MaggieAppleton/maggieappleton.com-V2,,english,https://github.com/MaggieAppleton/maggieappleton.com-V2,,2021-09-24 09:01:12,2025-01-25 16:11:55,2025-01-25 16:11:54,1041.0,16.0,31.0,6.0,26.0,3.0,1.0,348.0,,,6.0,10,True,2.0,,,,,,,
