,name,homepage,labels,github_id,description,category,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,Oscean,https://wiki.xxiivv.com/site/home.html,[],XXIIVV/Oscean,,english,7.0,7.0,50.0,2,True,1.0,-17.0
1,Xinyang YU - 🥷🏻🌳🍃 Computer Science & Thinkering Garden,https://notes.yxy.ninja,"['programming', 'science', 'productivity', 'linux']",xy-241/CS-Notes,,english,,,227.0,2,True,1.0,
2,Craft Engineer,https://craftengineer.com,"['programming', 'productivity', 'leadership', 'team management']",,"Digital garden focused on engineering management, software development, and personal growth.",english,,,,1,True,1.0,
3,Derelict garden,https://derelict.garden,"['programming', 'linux', 'science']",,"Digital garden, webring and community of hackers.",english,,,,1,True,1.0,
4,Paweł Cisło,https://pawelcislo.com/knowledge/digital-garden/,"['programming', 'python', 'linux', 'productivity', 'health', 'arts']",pyxelr/pawelcislo.com,"Digital garden covering software tools, MLOps, music production, health, and more.",english,,,,1,True,1.0,
5,Giant Robots Smashing Into Other Giant Robots,https://thoughtbot.com/blog,"['linux', 'programming', 'python']",thoughtbot/til,,english,,,34.0,1,True,1.0,
6,swyx.io ideas,https://www.swyx.io/ideas/?show=Essays,[],sw-yx/swyxdotio,,english,,,32.0,1,True,1.0,-16.0
7,100 Rabbits,https://100r.co/site/home.html,"['programming', 'arts']",hundredrabbits/100r.co,,english,,,39.0,1,True,1.0,-15.0
8,Project Delta - one bit better,https://selimslab.github.io/,"['art', 'science', 'programming', 'philosophy', 'psychology', 'practical skills', 'poetry', 'technology']",selimslab/selimslab.github.io,"A digital space to create, collect, and share.",english,,,,1,True,1.0,
9,Gavin Arturo Gamboa 🌱☁️✨ gavart.ist,https://gavart.ist,"['arts', 'programming']",protrolium/gavart.ist,Digital garden of a composer.,english,,,,1,True,1.0,
10,Digital Swamp - pa0,https://paologabriel.com/,"['programming', 'science', 'art']",palol/digital-garden,Digital garden from a research scientist.,english,,,,1,True,1.0,
11,Hermitage,https://hermitage.utsob.me/,"['programming', 'art', 'philosophy']",uroybd/topobon,A digital garden to share budding and blooming thoughts.,english,,,9.0,1,True,1.0,
12,The Blue Book,https://lyz-code.github.io/blue-book,"['activism', 'antifascism', 'productivity', 'health', 'programming', 'python', 'linux', 'arts', 'science', 'feminism']",lyz-code/blue-book,,english,,,20.0,0,True,,
13,Andrew Zappella,https://github.com/azappella/knowledge,"['programming', 'productivity', 'linux']",azappella/knowledge,,english,,,,0,True,,
14,Bruno Coimbra,https://wiki.metaphoric.dev/,['linux'],b-coimbra/wiki,,english,,,3.0,0,True,,
15,Carlos Delfino,https://carlosdelfino.github.io,[],CarlosDelfino/carlosdelfino.github.com,,portuguese,,,20.0,0,True,,
16,David Gasquez,https://publish.obsidian.md/davidgasquez/README,"['programming', 'health', 'linux', 'productivity', 'arts', 'science']",davidgasquez/handbook,,english,,,5.0,0,True,,-16.0
17,E. Ferreira,https://github.com/slowernews/notebook,"['programming', 'arts']",slowernews/notebook,,english,,,,0,True,,
18,Eyal Levin,https://github.com/eyalev/notes,['arts'],eyalev/notes,,english,,,,0,True,,
19,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,,,3.0,0,True,,
20,Joseph Rex,https://github.com/josephrexme/knowledge,"['programming', 'arts']",josephrexme/knowledge,,english,,,,0,True,,
21,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,,,,0,True,,
22,Josh Pierro,https://github.com/joshpierro/knowledge,"['programming', 'linux', 'arts']",joshpierro/knowledge,,english,,,,0,True,,
23,Kamil Ronewicz,https://github.com/galileo/knowledge,['programming'],galileo/knowledge,,english,,,,0,True,,
24,Marc Loupias,https://memo-dev.marc-loupias.fr/,"['programming', 'linux']",MarcLoupias/memo-dev,,english,,,3.0,0,True,,
25,Marshall Bowers,https://knowledge.maxdeviant.com/,"['programming', 'linux']",maxdeviant/knowledge,,english,,,,0,True,,
26,Mathias Borgmalm,https://wiki.mathiasborgmalm.dev/,"['arts', 'programming']",MateBoy/knowledge-base,,english,,,,0,True,,
27,Myles Braithwaite,https://wiki.mylesb.ca/,"['programming', 'arts', 'linux', 'productivity']",myles/wiki,,english,,,4.0,0,True,,
28,Nikita Voloboev,https://wiki.nikiv.dev/,"['science', 'programming', 'arts', 'linux', 'activism', 'python', 'health', 'productivity']",nikitavoloboev/knowledge,,english,,,,0,True,,
